InventoryItem,Category,StockLevel,UsagePerDay,ExpiryInDays,SpoilageRate,Supplier,SupplierLocation,OrganicOrLocal,CostPerUnit,DeliveryTimeDays,OrderFrequencyDays,LeadTimeDays,CustomerOrderTrend,WasteUnits
Bread Pudding,Dessert ,344,18,20,0.02,Connemara Supplies,Mayo,Yes,14.42,3,3,2,272,2
Guinness,Beverages,66,12,4,0.08,Emerald Foods Ltd,Cork,Yes,18.18,3,3,1,133,4
Rioja,Beverages,305,13,19,0.12,Connemara Supplies,Mayo,Yes,1.07,6,3,9,197,4
Heineken,Beverages,208,14,8,0.09,Emerald Foods Ltd,Cork,Yes,2.79,5,7,9,101,3
Baileys Cheesecake,Dessert ,50,14,21,0.08,Emerald Foods Ltd,Cork,Yes,15.71,1,3,8,233,0
Whiskey,Beverages,468,6,24,0.04,Emerald Foods Ltd,Cork,Yes,8.72,6,30,9,154,6
Pinot Noir,Beverages,99,13,7,0.07,Connemara Supplies,Mayo,Yes,1.15,4,3,2,143,4
Pepperoni Pizza,Food ,229,19,25,0.15,Green Isle Distributors,Dublin,No,10.34,2,30,9,154,21
Irish Nachos,Food ,93,4,26,0.03,Green Isle Distributors,Dublin,No,15.93,5,3,4,36,0
Kilkenny,Beverages,230,24,13,0.04,Emerald Foods Ltd,Cork,Yes,9.87,4,14,3,132,3
Boxty,Food ,302,20,4,0.08,Shannon Valley Produce,Limerick,No,15.76,5,14,9,263,22
Guinness,Beverages,146,10,6,0.05,Shannon Valley Produce,Limerick,No,17.94,6,14,3,108,5
Corned Beef,Food ,316,18,4,0.13,Green Isle Distributors,Dublin,No,9.12,2,7,2,171,8
Chardonnay,Beverages,14,19,20,0.12,Shannon Valley Produce,Limerick,No,18.42,1,30,1,251,1
Pinot Noir,Beverages,392,20,20,0.02,Shannon Valley Produce,Limerick,No,4.86,1,3,5,183,2
Craft Beer,Beverages,158,2,6,0.14,Connemara Supplies,Mayo,Yes,16.09,5,30,4,123,8
Kilkenny,Beverages,182,11,29,0.1,Emerald Foods Ltd,Cork,Yes,5.53,5,3,7,130,18
Whiskey,Beverages,113,7,27,0.12,Shannon Valley Produce,Limerick,No,17.56,4,30,8,244,1
Pinot Noir,Beverages,293,24,3,0.01,Emerald Foods Ltd,Cork,Yes,7.27,2,3,6,227,2
Irish Nachos,Food ,400,3,16,0.06,Shannon Valley Produce,Limerick,No,17.26,3,3,6,97,2
Craft Beer,Beverages,399,11,16,0.07,Emerald Foods Ltd,Cork,Yes,7.05,2,30,1,121,17
Spicy Wedges,Food ,252,9,28,0.07,Emerald Foods Ltd,Cork,Yes,14.97,6,14,7,217,2
Sauvignon Blanc,Beverages,184,15,26,0.04,Shannon Valley Produce,Limerick,No,3.3,3,7,2,257,5
Heineken,Beverages,377,18,10,0.11,Emerald Foods Ltd,Cork,Yes,1.1,2,14,1,155,21
Corned Beef,Food ,101,13,18,0.05,Connemara Supplies,Mayo,Yes,12.54,5,3,8,233,1
Pinot Noir,Beverages,189,11,13,0.01,Emerald Foods Ltd,Cork,Yes,15.14,1,7,9,28,0
Baileys Cheesecake,Dessert ,448,4,22,0.04,Claddagh Provisions,Galway,Yes,15.18,1,3,2,182,16
Sauvignon Blanc,Beverages,391,15,13,0.13,Connemara Supplies,Mayo,Yes,9.08,5,7,8,251,34
Kilkenny,Beverages,431,22,29,0.09,Connemara Supplies,Mayo,Yes,13.87,6,14,3,268,12
Pinot Noir,Beverages,71,21,28,0.07,Shannon Valley Produce,Limerick,No,19.28,1,7,3,213,1
Truffle Fries,Food ,352,11,6,0.15,Emerald Foods Ltd,Cork,Yes,11.83,4,30,6,134,20
Heineken,Beverages,165,20,25,0.14,Connemara Supplies,Mayo,Yes,15.09,4,3,8,187,13
Truffle Fries,Food ,12,5,22,0.06,Claddagh Provisions,Galway,Yes,9.83,4,30,5,36,0
Kilkenny,Beverages,360,15,27,0.08,Claddagh Provisions,Galway,Yes,6.35,3,30,3,106,2
Shepherd's Pie,Food ,267,21,21,0.09,Green Isle Distributors,Dublin,No,6.97,4,30,3,211,13
Pepperoni Pizza,Food ,475,2,11,0.05,Connemara Supplies,Mayo,Yes,5.23,6,3,9,30,19
Rioja,Beverages,355,6,16,0.09,Claddagh Provisions,Galway,Yes,4.7,6,3,1,144,5
Guinness,Beverages,199,23,17,0.12,Green Isle Distributors,Dublin,No,16.85,5,7,4,143,12
Corned Beef,Food ,67,10,14,0.05,Claddagh Provisions,Galway,Yes,13.49,2,14,1,276,3
Shepherd's Pie,Food ,349,8,29,0.08,Connemara Supplies,Mayo,Yes,2.45,3,7,7,188,6
Rioja,Beverages,103,5,3,0.07,Shannon Valley Produce,Limerick,No,14.62,2,3,6,79,5
Irish Nachos,Food ,252,22,11,0.08,Connemara Supplies,Mayo,Yes,9.16,4,7,2,26,18
Corned Beef,Food ,479,22,21,0.1,Connemara Supplies,Mayo,Yes,16.49,6,30,1,244,46
Kilkenny,Beverages,368,14,24,0.09,Emerald Foods Ltd,Cork,Yes,12.91,4,7,1,209,22
Pepperoni Pizza,Food ,344,12,21,0.06,Emerald Foods Ltd,Cork,Yes,7.77,3,3,1,197,2
Irish Stew,Food ,462,16,23,0.05,Claddagh Provisions,Galway,Yes,19.74,4,7,4,64,4
Sauvignon Blanc,Beverages,305,17,29,0.04,Connemara Supplies,Mayo,Yes,6.36,4,7,9,263,4
Kilkenny,Beverages,159,20,17,0.09,Shannon Valley Produce,Limerick,No,1.51,3,14,9,171,12
Onion Rings,Food ,109,18,10,0.11,Emerald Foods Ltd,Cork,Yes,5.68,4,14,3,195,11
Spicy Wedges,Food ,407,15,9,0.07,Emerald Foods Ltd,Cork,Yes,16.53,2,7,3,157,1
Pepperoni Pizza,Food ,246,18,18,0.02,Shannon Valley Produce,Limerick,No,18.11,6,14,7,269,2
Truffle Fries,Food ,493,19,13,0.07,Emerald Foods Ltd,Cork,Yes,4.82,2,14,3,40,32
Boxty,Food ,87,22,5,0.12,Emerald Foods Ltd,Cork,Yes,19.83,6,3,6,242,6
Baileys Cheesecake,Dessert ,181,3,16,0.04,Green Isle Distributors,Dublin,No,11.67,6,14,3,32,5
Sauvignon Blanc,Beverages,275,14,5,0.15,Shannon Valley Produce,Limerick,No,9.3,3,3,1,95,14
Irish Stew,Food ,61,15,27,0.03,Shannon Valley Produce,Limerick,No,9.13,3,14,1,117,0
Sweet Potato Fries,Food ,31,7,18,0.07,Emerald Foods Ltd,Cork,Yes,3.62,5,3,4,231,2
Bread Pudding,Dessert ,313,3,24,0.13,Green Isle Distributors,Dublin,No,11.48,6,30,7,52,8
Sauvignon Blanc,Beverages,41,19,25,0.07,Connemara Supplies,Mayo,Yes,16.11,6,7,3,273,0
Margherita Pizza,Food ,369,2,25,0.07,Green Isle Distributors,Dublin,No,18.18,6,7,4,186,3
Pinot Noir,Beverages,408,10,8,0.07,Connemara Supplies,Mayo,Yes,13.86,4,7,5,171,12
Chardonnay,Beverages,186,6,13,0.08,Connemara Supplies,Mayo,Yes,4.16,6,3,5,296,13
Margherita Pizza,Food ,172,2,7,0.04,Shannon Valley Produce,Limerick,No,19.56,4,3,1,264,0
Smithwick's,Beverages,108,21,15,0.05,Green Isle Distributors,Dublin,No,14.54,4,7,2,174,3
Sticky Toffee Pudding,Dessert ,270,22,17,0.05,Claddagh Provisions,Galway,Yes,4.51,1,7,1,24,2
Irish Stew,Food ,313,18,17,0.01,Green Isle Distributors,Dublin,No,17.93,2,3,5,183,2
Sauvignon Blanc,Beverages,110,22,7,0.03,Shannon Valley Produce,Limerick,No,4.78,3,30,4,99,0
Spicy Wedges,Food ,142,7,25,0.11,Emerald Foods Ltd,Cork,Yes,7.05,1,7,8,127,5
Irish Stew,Food ,287,2,13,0.09,Shannon Valley Produce,Limerick,No,9.69,6,30,9,236,6
Truffle Mushroom Pizza,Food ,147,20,3,0.14,Emerald Foods Ltd,Cork,Yes,19.52,3,30,4,227,14
Irish Stew,Food ,190,9,7,0.06,Green Isle Distributors,Dublin,No,3.24,5,3,2,71,5
Garlic Parmesan Fries,Food ,177,10,6,0.12,Shannon Valley Produce,Limerick,No,9.86,5,30,5,290,10
Heineken,Beverages,189,2,8,0.14,Claddagh Provisions,Galway,Yes,11.34,5,30,5,258,5
Garlic Parmesan Fries,Food ,310,4,17,0.13,Shannon Valley Produce,Limerick,No,18.72,6,3,3,194,34
Irish Stew,Food ,363,14,13,0.05,Green Isle Distributors,Dublin,No,6.13,5,3,1,87,4
Irish Nachos,Food ,205,22,9,0.11,Emerald Foods Ltd,Cork,Yes,12.6,1,7,6,196,2
BBQ Chicken Pizza,Food ,157,14,9,0.13,Green Isle Distributors,Dublin,No,17.45,6,7,1,168,12
Shepherd's Pie,Food ,354,12,8,0.09,Claddagh Provisions,Galway,Yes,9.85,5,30,5,239,5
Irish Stew,Food ,418,11,9,0.04,Emerald Foods Ltd,Cork,Yes,14.06,6,30,1,120,15
Sweet Potato Fries,Food ,41,5,23,0.02,Emerald Foods Ltd,Cork,Yes,4.62,4,14,3,200,0
Pepperoni Pizza,Food ,431,2,13,0.07,Claddagh Provisions,Galway,Yes,4.13,4,7,3,262,5
Guinness,Beverages,446,14,19,0.02,Emerald Foods Ltd,Cork,Yes,15.7,5,7,9,107,0
Corned Beef,Food ,421,24,16,0.07,Emerald Foods Ltd,Cork,Yes,16.2,6,14,4,95,6
Sweet Potato Fries,Food ,475,5,3,0.14,Claddagh Provisions,Galway,Yes,10.8,2,14,6,228,44
Craft Beer,Beverages,64,21,4,0.13,Green Isle Distributors,Dublin,No,12.97,1,3,1,245,7
Spicy Wedges,Food ,231,6,9,0.14,Shannon Valley Produce,Limerick,No,1.07,2,3,2,89,13
Kilkenny,Beverages,128,10,25,0.11,Shannon Valley Produce,Limerick,No,6.68,1,14,3,141,10
Kilkenny,Beverages,414,19,24,0.07,Connemara Supplies,Mayo,Yes,5.43,6,14,2,279,5
Boxty,Food ,30,9,8,0.1,Green Isle Distributors,Dublin,No,2.16,3,14,3,33,3
Sweet Potato Fries,Food ,479,17,11,0.08,Claddagh Provisions,Galway,Yes,18.22,5,3,8,295,0
Pepperoni Pizza,Food ,136,22,15,0.09,Emerald Foods Ltd,Cork,Yes,19.67,2,3,4,278,11
Spicy Wedges,Food ,233,11,24,0.02,Emerald Foods Ltd,Cork,Yes,15.91,1,3,5,245,1
Pinot Noir,Beverages,59,11,28,0.08,Claddagh Provisions,Galway,Yes,16.58,4,30,5,288,2
Onion Rings,Food ,62,21,19,0.12,Connemara Supplies,Mayo,Yes,17.91,4,3,8,153,1
Irish Coffee,Beverages,403,4,9,0.11,Shannon Valley Produce,Limerick,No,16.9,2,7,2,164,14
Sweet Potato Fries,Food ,127,8,19,0.04,Shannon Valley Produce,Limerick,No,7.0,3,30,1,188,1
BBQ Chicken Pizza,Food ,213,5,14,0.09,Green Isle Distributors,Dublin,No,13.17,1,3,6,220,5
Spicy Wedges,Food ,164,10,26,0.07,Connemara Supplies,Mayo,Yes,6.32,4,30,1,102,1
Pinot Noir,Beverages,282,2,7,0.15,Emerald Foods Ltd,Cork,Yes,4.23,5,14,8,218,33
Garlic Parmesan Fries,Food ,153,12,4,0.02,Green Isle Distributors,Dublin,No,16.84,4,14,3,258,0
Truffle Mushroom Pizza,Food ,53,10,27,0.09,Green Isle Distributors,Dublin,No,5.43,5,30,5,215,0
Guinness,Beverages,251,18,14,0.15,Claddagh Provisions,Galway,Yes,7.61,3,30,7,195,34
Truffle Mushroom Pizza,Food ,480,20,9,0.11,Connemara Supplies,Mayo,Yes,5.74,4,7,5,90,2
Truffle Fries,Food ,467,3,22,0.14,Connemara Supplies,Mayo,Yes,10.68,6,14,8,143,61
Potato Skins,Food ,446,2,25,0.15,Emerald Foods Ltd,Cork,Yes,2.21,6,30,2,241,49
Pinot Noir,Beverages,358,6,28,0.06,Claddagh Provisions,Galway,Yes,3.54,2,7,9,26,19
Whiskey,Beverages,40,22,12,0.05,Claddagh Provisions,Galway,Yes,18.49,1,30,1,54,1
BBQ Chicken Pizza,Food ,80,13,18,0.09,Connemara Supplies,Mayo,Yes,18.94,2,30,9,97,6
Irish Stew,Food ,391,14,19,0.09,Emerald Foods Ltd,Cork,Yes,14.64,3,7,5,95,2
Chardonnay,Beverages,239,8,11,0.07,Claddagh Provisions,Galway,Yes,5.43,6,7,1,31,8
Garlic Parmesan Fries,Food ,236,15,28,0.08,Shannon Valley Produce,Limerick,No,1.69,3,14,5,275,8
Sweet Potato Fries,Food ,495,3,9,0.03,Green Isle Distributors,Dublin,No,18.21,2,7,6,214,2
Garlic Parmesan Fries,Food ,75,5,15,0.03,Emerald Foods Ltd,Cork,Yes,2.81,6,14,5,145,2
Kilkenny,Beverages,267,10,14,0.15,Emerald Foods Ltd,Cork,Yes,9.44,2,30,3,110,20
Bread Pudding,Dessert ,88,15,26,0.15,Shannon Valley Produce,Limerick,No,5.58,2,7,2,255,11
Garlic Parmesan Fries,Food ,329,9,8,0.08,Green Isle Distributors,Dublin,No,9.01,5,14,7,74,11
BBQ Chicken Pizza,Food ,381,21,19,0.06,Emerald Foods Ltd,Cork,Yes,14.98,2,30,7,185,20
Whiskey,Beverages,298,3,22,0.15,Connemara Supplies,Mayo,Yes,11.45,4,30,6,275,13
Spicy Wedges,Food ,486,11,11,0.09,Claddagh Provisions,Galway,Yes,10.47,5,14,4,176,11
Shepherd's Pie,Food ,177,8,23,0.12,Emerald Foods Ltd,Cork,Yes,8.47,3,30,8,151,17
Pepperoni Pizza,Food ,363,3,24,0.03,Claddagh Provisions,Galway,Yes,4.12,3,3,9,277,4
Whiskey,Beverages,470,20,20,0.07,Shannon Valley Produce,Limerick,No,12.39,2,30,7,75,14
Pinot Noir,Beverages,472,4,24,0.03,Green Isle Distributors,Dublin,No,12.54,1,3,8,132,9
Potato Skins,Food ,109,17,24,0.12,Shannon Valley Produce,Limerick,No,1.5,1,3,5,172,2
Smithwick's,Beverages,139,21,28,0.06,Green Isle Distributors,Dublin,No,7.7,2,3,2,89,5
Kilkenny,Beverages,139,11,21,0.1,Shannon Valley Produce,Limerick,No,3.31,1,30,3,101,11
Baileys Cheesecake,Dessert ,169,21,19,0.11,Green Isle Distributors,Dublin,No,1.26,5,30,3,149,11
Pinot Noir,Beverages,233,16,22,0.11,Shannon Valley Produce,Limerick,No,17.08,4,14,1,174,8
Shepherd's Pie,Food ,197,14,9,0.06,Connemara Supplies,Mayo,Yes,1.37,6,7,8,110,11
Chardonnay,Beverages,386,4,26,0.1,Shannon Valley Produce,Limerick,No,4.4,6,14,7,107,4
Boxty,Food ,160,12,29,0.04,Connemara Supplies,Mayo,Yes,9.57,6,7,1,153,5
Onion Rings,Food ,46,12,16,0.13,Shannon Valley Produce,Limerick,No,3.38,1,7,4,73,1
Truffle Fries,Food ,412,10,26,0.04,Shannon Valley Produce,Limerick,No,5.74,6,7,8,22,9
Sauvignon Blanc,Beverages,80,13,18,0.09,Claddagh Provisions,Galway,Yes,5.04,4,3,6,113,6
Boxty,Food ,137,21,4,0.13,Claddagh Provisions,Galway,Yes,14.43,1,30,1,26,15
Whiskey,Beverages,474,14,11,0.08,Green Isle Distributors,Dublin,No,10.86,4,3,3,122,5
Corned Beef,Food ,432,7,13,0.09,Connemara Supplies,Mayo,Yes,9.13,5,14,4,108,11
Guinness,Beverages,228,21,9,0.11,Shannon Valley Produce,Limerick,No,3.64,3,14,4,243,13
Rioja,Beverages,349,12,12,0.1,Green Isle Distributors,Dublin,No,3.48,2,30,5,287,12
Boxty,Food ,35,9,8,0.06,Emerald Foods Ltd,Cork,Yes,19.44,4,3,4,80,0
Craft Beer,Beverages,432,6,4,0.13,Emerald Foods Ltd,Cork,Yes,4.03,1,30,9,167,28
Smithwick's,Beverages,376,22,22,0.03,Green Isle Distributors,Dublin,No,16.33,2,14,5,17,9
Smithwick's,Beverages,323,19,13,0.14,Emerald Foods Ltd,Cork,Yes,14.57,2,14,3,267,21
Sauvignon Blanc,Beverages,239,12,10,0.07,Emerald Foods Ltd,Cork,Yes,10.77,2,30,5,62,12
Garlic Parmesan Fries,Food ,248,14,11,0.08,Claddagh Provisions,Galway,Yes,16.95,5,30,1,25,5
Irish Nachos,Food ,98,16,3,0.04,Green Isle Distributors,Dublin,No,6.08,2,30,1,234,0
Shepherd's Pie,Food ,288,21,16,0.02,Connemara Supplies,Mayo,Yes,2.35,2,14,5,203,1
Bread Pudding,Dessert ,270,10,3,0.07,Shannon Valley Produce,Limerick,No,2.26,2,14,5,68,18
Truffle Fries,Food ,281,13,29,0.06,Claddagh Provisions,Galway,Yes,2.1,6,30,5,75,1
Shepherd's Pie,Food ,402,11,7,0.03,Green Isle Distributors,Dublin,No,1.92,6,7,2,298,1
Truffle Mushroom Pizza,Food ,36,15,6,0.08,Emerald Foods Ltd,Cork,Yes,5.18,2,7,9,276,0
Corned Beef,Food ,180,11,6,0.02,Emerald Foods Ltd,Cork,Yes,15.22,3,3,8,35,3
Sweet Potato Fries,Food ,275,8,18,0.07,Shannon Valley Produce,Limerick,No,12.2,6,14,1,272,19
Potato Skins,Food ,497,17,20,0.11,Connemara Supplies,Mayo,Yes,11.08,4,3,7,53,24
Irish Nachos,Food ,418,21,28,0.11,Connemara Supplies,Mayo,Yes,4.38,3,7,9,227,17
Kilkenny,Beverages,496,13,18,0.11,Shannon Valley Produce,Limerick,No,4.12,3,14,2,155,51
Baileys Cheesecake,Dessert ,347,1,27,0.1,Emerald Foods Ltd,Cork,Yes,7.25,2,7,9,297,27
Baileys Cheesecake,Dessert ,485,5,26,0.03,Shannon Valley Produce,Limerick,No,9.19,2,14,8,179,4
Shepherd's Pie,Food ,382,2,27,0.06,Connemara Supplies,Mayo,Yes,8.08,4,7,8,121,0
Irish Stew,Food ,400,5,6,0.08,Claddagh Provisions,Galway,Yes,13.56,2,14,8,204,10
Truffle Fries,Food ,492,10,11,0.15,Emerald Foods Ltd,Cork,Yes,7.52,3,7,8,23,57
Pinot Noir,Beverages,453,20,17,0.1,Shannon Valley Produce,Limerick,No,14.95,6,30,5,230,5
Irish Stew,Food ,459,12,23,0.06,Shannon Valley Produce,Limerick,No,8.0,5,3,5,261,25
Rioja,Beverages,244,14,4,0.03,Claddagh Provisions,Galway,Yes,17.27,1,14,4,267,1
Craft Beer,Beverages,240,9,19,0.08,Claddagh Provisions,Galway,Yes,8.89,4,30,1,148,3
Guinness,Beverages,384,1,14,0.02,Green Isle Distributors,Dublin,No,4.18,3,3,5,276,4
Potato Skins,Food ,465,10,27,0.06,Shannon Valley Produce,Limerick,No,9.71,4,14,5,21,24
Craft Beer,Beverages,95,22,10,0.1,Emerald Foods Ltd,Cork,Yes,10.45,5,7,9,104,2
Guinness,Beverages,291,21,21,0.1,Green Isle Distributors,Dublin,No,7.08,1,30,7,93,28
Corned Beef,Food ,36,12,27,0.06,Shannon Valley Produce,Limerick,No,2.57,2,7,2,71,2
Guinness,Beverages,135,3,28,0.11,Shannon Valley Produce,Limerick,No,15.8,3,3,4,164,9
Truffle Mushroom Pizza,Food ,37,2,4,0.14,Claddagh Provisions,Galway,Yes,12.97,1,30,8,72,5
Irish Coffee,Beverages,210,1,12,0.13,Emerald Foods Ltd,Cork,Yes,15.09,6,14,5,12,23
Chardonnay,Beverages,277,12,26,0.12,Claddagh Provisions,Galway,Yes,18.58,6,7,9,224,29
Whiskey,Beverages,259,10,18,0.15,Shannon Valley Produce,Limerick,No,7.87,1,3,6,229,26
Onion Rings,Food ,158,19,13,0.08,Emerald Foods Ltd,Cork,Yes,16.99,2,30,3,93,10
Truffle Fries,Food ,170,24,10,0.05,Shannon Valley Produce,Limerick,No,15.86,6,7,9,232,2
Rioja,Beverages,164,3,29,0.09,Emerald Foods Ltd,Cork,Yes,1.86,6,3,4,297,6
Margherita Pizza,Food ,67,7,27,0.05,Emerald Foods Ltd,Cork,Yes,18.48,5,7,2,28,3
BBQ Chicken Pizza,Food ,329,16,22,0.05,Connemara Supplies,Mayo,Yes,7.23,2,3,6,62,3
Sauvignon Blanc,Beverages,38,21,17,0.08,Connemara Supplies,Mayo,Yes,7.67,3,3,6,144,3
Margherita Pizza,Food ,148,11,12,0.02,Green Isle Distributors,Dublin,No,13.82,2,30,4,172,1
Spicy Wedges,Food ,433,18,29,0.05,Emerald Foods Ltd,Cork,Yes,19.89,3,3,3,119,0
Corned Beef,Food ,91,21,22,0.04,Green Isle Distributors,Dublin,No,4.18,5,3,8,214,3
Garlic Parmesan Fries,Food ,345,8,21,0.1,Shannon Valley Produce,Limerick,No,2.78,5,3,1,145,4
Irish Stew,Food ,329,17,17,0.02,Shannon Valley Produce,Limerick,No,1.98,5,14,9,91,2
Truffle Mushroom Pizza,Food ,208,19,28,0.06,Green Isle Distributors,Dublin,No,14.68,2,30,8,121,12
Whiskey,Beverages,98,22,20,0.04,Emerald Foods Ltd,Cork,Yes,10.72,5,30,3,119,2
Craft Beer,Beverages,92,10,15,0.01,Emerald Foods Ltd,Cork,Yes,19.42,4,14,8,58,0
Baileys Cheesecake,Dessert ,92,16,23,0.07,Connemara Supplies,Mayo,Yes,15.52,1,30,4,108,1
Irish Stew,Food ,224,18,13,0.08,Green Isle Distributors,Dublin,No,19.99,3,7,3,202,14
Craft Beer,Beverages,251,19,9,0.04,Emerald Foods Ltd,Cork,Yes,8.1,3,7,4,89,10
BBQ Chicken Pizza,Food ,308,23,4,0.04,Emerald Foods Ltd,Cork,Yes,5.51,3,30,9,27,7
Garlic Parmesan Fries,Food ,128,20,16,0.06,Emerald Foods Ltd,Cork,Yes,5.31,1,7,4,22,0
Spicy Wedges,Food ,88,14,7,0.06,Green Isle Distributors,Dublin,No,12.09,4,14,8,246,4
Margherita Pizza,Food ,175,20,17,0.04,Claddagh Provisions,Galway,Yes,1.62,4,14,6,246,0
Sauvignon Blanc,Beverages,28,9,23,0.01,Emerald Foods Ltd,Cork,Yes,3.96,2,30,7,40,0
Irish Nachos,Food ,494,12,28,0.06,Shannon Valley Produce,Limerick,No,7.0,5,14,8,272,0
Truffle Mushroom Pizza,Food ,317,2,24,0.13,Green Isle Distributors,Dublin,No,13.99,4,3,3,53,11
Irish Stew,Food ,280,21,12,0.04,Emerald Foods Ltd,Cork,Yes,6.74,4,7,4,274,11
Kilkenny,Beverages,332,9,9,0.04,Emerald Foods Ltd,Cork,Yes,17.7,6,7,3,128,9
Bread Pudding,Dessert ,471,13,24,0.11,Shannon Valley Produce,Limerick,No,3.72,2,3,9,291,22
Bread Pudding,Dessert ,383,6,13,0.05,Connemara Supplies,Mayo,Yes,9.89,3,7,3,215,7
Irish Nachos,Food ,151,12,27,0.04,Claddagh Provisions,Galway,Yes,7.11,1,14,5,143,2
BBQ Chicken Pizza,Food ,281,7,24,0.09,Shannon Valley Produce,Limerick,No,8.89,5,14,3,253,13
Shepherd's Pie,Food ,222,16,22,0.06,Connemara Supplies,Mayo,Yes,7.83,2,14,2,241,10
Bread Pudding,Dessert ,297,5,4,0.13,Connemara Supplies,Mayo,Yes,14.8,4,3,6,15,9
Sauvignon Blanc,Beverages,22,6,8,0.14,Connemara Supplies,Mayo,Yes,7.94,5,14,5,288,1
Irish Coffee,Beverages,359,24,18,0.12,Shannon Valley Produce,Limerick,No,17.87,2,7,4,188,28
Smithwick's,Beverages,312,10,5,0.14,Emerald Foods Ltd,Cork,Yes,14.35,1,3,8,237,17
Baileys Cheesecake,Dessert ,275,1,13,0.09,Shannon Valley Produce,Limerick,No,3.23,6,14,6,226,2
Heineken,Beverages,168,4,4,0.08,Shannon Valley Produce,Limerick,No,7.16,3,7,2,79,11
Baileys Cheesecake,Dessert ,70,16,3,0.05,Connemara Supplies,Mayo,Yes,17.21,6,7,6,289,1
Irish Coffee,Beverages,294,11,5,0.08,Connemara Supplies,Mayo,Yes,16.86,3,14,7,262,6
Shepherd's Pie,Food ,36,11,16,0.11,Claddagh Provisions,Galway,Yes,17.93,6,30,2,236,1
Sauvignon Blanc,Beverages,352,3,12,0.05,Connemara Supplies,Mayo,Yes,18.42,2,7,4,257,13
Irish Nachos,Food ,30,12,21,0.05,Emerald Foods Ltd,Cork,Yes,11.18,1,3,7,148,1
BBQ Chicken Pizza,Food ,222,21,25,0.01,Claddagh Provisions,Galway,Yes,16.35,2,14,7,83,2
Margherita Pizza,Food ,17,12,21,0.13,Emerald Foods Ltd,Cork,Yes,2.32,5,3,7,254,1
Kilkenny,Beverages,241,9,9,0.03,Claddagh Provisions,Galway,Yes,9.39,6,14,7,219,0
Irish Stew,Food ,101,8,4,0.04,Claddagh Provisions,Galway,Yes,16.9,1,7,5,108,1
Shepherd's Pie,Food ,207,21,5,0.13,Green Isle Distributors,Dublin,No,9.7,6,3,5,55,1
Sweet Potato Fries,Food ,484,16,24,0.04,Emerald Foods Ltd,Cork,Yes,8.67,5,14,1,183,12
Spicy Wedges,Food ,30,9,6,0.11,Shannon Valley Produce,Limerick,No,5.38,4,14,7,11,3
Chardonnay,Beverages,277,24,21,0.08,Connemara Supplies,Mayo,Yes,7.22,5,14,5,148,21
Potato Skins,Food ,307,19,5,0.14,Emerald Foods Ltd,Cork,Yes,14.78,2,7,1,264,40
Shepherd's Pie,Food ,277,13,9,0.02,Shannon Valley Produce,Limerick,No,11.61,3,7,5,103,0
Sweet Potato Fries,Food ,218,21,5,0.06,Emerald Foods Ltd,Cork,Yes,1.01,2,30,7,84,4
Pepperoni Pizza,Food ,411,19,20,0.15,Connemara Supplies,Mayo,Yes,11.08,4,3,9,36,57
Truffle Mushroom Pizza,Food ,422,12,13,0.07,Green Isle Distributors,Dublin,No,6.88,1,14,9,17,6
Heineken,Beverages,105,9,17,0.09,Emerald Foods Ltd,Cork,Yes,10.81,1,14,2,261,8
Margherita Pizza,Food ,435,16,10,0.13,Emerald Foods Ltd,Cork,Yes,7.54,4,7,8,252,52
Chardonnay,Beverages,200,6,14,0.03,Shannon Valley Produce,Limerick,No,6.8,5,3,6,109,2
Heineken,Beverages,259,6,29,0.01,Claddagh Provisions,Galway,Yes,6.23,1,14,4,298,2
Boxty,Food ,343,6,27,0.02,Emerald Foods Ltd,Cork,Yes,19.79,3,7,9,122,5
Pinot Noir,Beverages,164,12,12,0.09,Connemara Supplies,Mayo,Yes,15.61,3,3,5,141,7
BBQ Chicken Pizza,Food ,88,19,6,0.11,Connemara Supplies,Mayo,Yes,12.31,4,7,9,267,8
Truffle Mushroom Pizza,Food ,329,20,11,0.02,Claddagh Provisions,Galway,Yes,9.85,5,30,9,163,3
Smithwick's,Beverages,310,5,26,0.03,Emerald Foods Ltd,Cork,Yes,9.54,4,3,3,187,4
Potato Skins,Food ,471,13,14,0.03,Emerald Foods Ltd,Cork,Yes,11.67,4,14,6,95,13
Spicy Wedges,Food ,141,9,10,0.02,Green Isle Distributors,Dublin,No,1.38,5,14,9,66,2
Irish Coffee,Beverages,222,14,12,0.02,Connemara Supplies,Mayo,Yes,12.97,6,7,4,288,1
Kilkenny,Beverages,377,20,19,0.11,Connemara Supplies,Mayo,Yes,14.39,4,14,5,158,17
Sticky Toffee Pudding,Dessert ,270,19,8,0.13,Green Isle Distributors,Dublin,No,14.25,3,3,4,75,8
Potato Skins,Food ,15,8,12,0.11,Connemara Supplies,Mayo,Yes,1.64,2,30,7,46,0
Garlic Parmesan Fries,Food ,168,13,21,0.1,Emerald Foods Ltd,Cork,Yes,12.06,4,30,8,86,2
Irish Stew,Food ,288,21,3,0.01,Connemara Supplies,Mayo,Yes,12.0,1,3,2,228,0
Potato Skins,Food ,282,18,21,0.11,Green Isle Distributors,Dublin,No,8.47,2,14,4,41,12
Heineken,Beverages,47,21,6,0.1,Green Isle Distributors,Dublin,No,11.08,2,14,2,34,2
Whiskey,Beverages,268,20,18,0.05,Claddagh Provisions,Galway,Yes,13.61,4,30,4,127,8
